_id,State,PC No,PC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share
232,Andhra Pradesh,13,Guntur,23,AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),308,4,312,0.02
233,Andhra Pradesh,13,Guntur,24,DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),306,4,310,0.02
234,Andhra Pradesh,13,Guntur,25,BURAGA RATNAM,Loktantrik Janta Dal,304,12,316,0.02
235,Andhra Pradesh,13,Guntur,26,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268,-,268,0.02
236,Andhra Pradesh,13,Guntur,27,SIVA PARVATHI,Independent,262,4,266,0.02
237,Andhra Pradesh,13,Guntur,28,BOMMASANI MUTYALA RAO,All Peoples Party,200,7,207,0.01
238,Andhra Pradesh,13,Guntur,29,SRIKRISHNA AKKISETTI,Independent,179,-,179,0.01
239,Andhra Pradesh,13,Guntur,30,MADAVARAPU NAGA RAJU,Independent,172,-,172,0.01
240,Andhra Pradesh,13,Guntur,31,NOTA,None of the Above,7210,177,7387,0.52
241,Andhra Pradesh,14,Narsaraopet,1,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,798097,9899,807996,53.88
242,Andhra Pradesh,14,Narsaraopet,2,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,642186,6081,648267,43.23
243,Andhra Pradesh,14,Narsaraopet,3,GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress,17520,526,18046,1.2
244,Andhra Pradesh,14,Narsaraopet,4,ORSU PREMARAJU,Bahujan Samaj Party,5276,33,5309,0.35
245,Andhra Pradesh,14,Narsaraopet,5,KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party,2328,8,2336,0.16
246,Andhra Pradesh,14,Narsaraopet,6,GARLAPATI SUBHASH PREM,Revolutionary Socialist Party,1243,2,1245,0.08
247,Andhra Pradesh,14,Narsaraopet,7,YAMPATI VEERANJANEYA REDDY,Independent,1056,1,1057,0.07
248,Andhra Pradesh,14,Narsaraopet,8,SUBBARAO CHALLA,Independent,1051,-,1051,0.07
249,Andhra Pradesh,14,Narsaraopet,9,ABDUL RAJAK SHAIK,Independent,718,5,723,0.05
250,Andhra Pradesh,14,Narsaraopet,10,KOTA POTHURAJU,Pyramid Party of India,667,3,670,0.04
251,Andhra Pradesh,14,Narsaraopet,11,P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party,385,3,388,0.03
252,Andhra Pradesh,14,Narsaraopet,12,PASUPULETI PICHAIAH,National Nava Kranthi Party,353,3,356,0.02
253,Andhra Pradesh,14,Narsaraopet,13,PAPPULA SAMBASIVA RAO,Navarang Congress Party,331,1,332,0.02
254,Andhra Pradesh,14,Narsaraopet,14,DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party,305,4,309,0.02
255,Andhra Pradesh,14,Narsaraopet,15,THOKALA NAGA RAJU,All India Forward Bloc,277,8,285,0.02
256,Andhra Pradesh,14,Narsaraopet,16,NOTA,None of the Above,11120,79,11199,0.75
257,Andhra Pradesh,15,Bapatla (SC),1,KRISHNA PRASAD TENNETI,Telugu Desam,706757,10736,717493,55.16
258,Andhra Pradesh,15,Bapatla (SC),2,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,503816,5646,509462,39.17
259,Andhra Pradesh,15,Bapatla (SC),3,J.D. SEELAM,Indian National Congress,41673,1586,43259,3.33
260,Andhra Pradesh,15,Bapatla (SC),4,DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6774,83,6857,0.53
261,Andhra Pradesh,15,Bapatla (SC),5,NALAMALA TIRUPATI RAO,Navataram Party,2888,76,2964,0.23
262,Andhra Pradesh,15,Bapatla (SC),6,BUSSA. NAGARAJU,Independent,1311,7,1318,0.1
263,Andhra Pradesh,15,Bapatla (SC),7,GADDE. VIJAYA LAKSHMI,Independent,1046,5,1051,0.08
264,Andhra Pradesh,15,Bapatla (SC),8,KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,893,4,897,0.07
265,Andhra Pradesh,15,Bapatla (SC),9,KONDRU KIRAN KUMAR,Independent,791,6,797,0.06
266,Andhra Pradesh,15,Bapatla (SC),10,KATTA ANAND BABU,Independent,704,25,729,0.06
267,Andhra Pradesh,15,Bapatla (SC),11,MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,669,4,673,0.05
268,Andhra Pradesh,15,Bapatla (SC),12,KATTA HEMANAND,Independent,547,2,549,0.04
269,Andhra Pradesh,15,Bapatla (SC),13,PARRE. KOTAIAH,Jaibhim Rao Bharat Party,408,4,412,0.03
270,Andhra Pradesh,15,Bapatla (SC),14,PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,294,12,306,0.02
271,Andhra Pradesh,15,Bapatla (SC),15,CHINNAM MURALIDHAR,All Peoples Party,252,3,255,0.02
272,Andhra Pradesh,15,Bapatla (SC),16,NOTA,None of the Above,13599,124,13723,1.06
273,Andhra Pradesh,16,Ongole,1,MAGUNTA SREENIVASULU REDDY,Telugu Desam,689829,12065,701894,49.35
274,Andhra Pradesh,16,Ongole,2,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,644052,7643,651695,45.82
275,Andhra Pradesh,16,Ongole,3,EDA SUDHAKARA REDDY,Indian National Congress,25803,919,26722,1.88
276,Andhra Pradesh,16,Ongole,4,DHARANIKOTA LAKSHMI NARAYANA,Bahujan Samaj Party,6238,76,6314,0.44
277,Andhra Pradesh,16,Ongole,5,BUCHI EDUKONDALU,Independent,3046,2,3048,0.21
278,Andhra Pradesh,16,Ongole,6,PODILI RAMBABU,Independent,3035,38,3073,0.22
279,Andhra Pradesh,16,Ongole,7,ORSU VEENA,Jai Bharat National Party,2242,25,2267,0.16
280,Andhra Pradesh,16,Ongole,8,BONTHA RANGA REDDY,Independent,1923,-,1923,0.14
281,Andhra Pradesh,16,Ongole,9,BODDU KRANTHI KUMAR,Independent,1797,1,1798,0.13
282,Andhra Pradesh,16,Ongole,10,MOHAN GOUD J V,Independent,1442,5,1447,0.1
283,Andhra Pradesh,16,Ongole,11,U MADHU BABU,Independent,1006,2,1008,0.07
284,Andhra Pradesh,16,Ongole,12,KARATAPU RAJU,Independent,730,5,735,0.05
285,Andhra Pradesh,16,Ongole,13,JAGADEESH RAYAPATI,Independent,713,12,725,0.05
286,Andhra Pradesh,16,Ongole,14,DEVIREDDY BALANJANEYULU,Independent,710,6,716,0.05
287,Andhra Pradesh,16,Ongole,15,HARI PRASAD TUPAKULA,Independent,706,5,711,0.05
288,Andhra Pradesh,16,Ongole,16,PASAM VENKATESWARLU YADAV,Samajwadi Party,699,44,743,0.05
289,Andhra Pradesh,16,Ongole,17,SURYA TEJA KOTA,Pyramid Party of India,674,9,683,0.05
290,Andhra Pradesh,16,Ongole,18,AKUMALLA MALLIKARJUNA REDDY,Independent,575,-,575,0.04
291,Andhra Pradesh,16,Ongole,19,VESHAPOGU GURAVABABU,Independent,457,4,461,0.03
292,Andhra Pradesh,16,Ongole,20,KOMMU YOHANU,Liberation Congress Party,454,7,461,0.03
293,Andhra Pradesh,16,Ongole,21,SESHUBABU GUDDANTI,Independent,449,-,449,0.03
294,Andhra Pradesh,16,Ongole,22,SINGAMNENI SREEKANTH,Independent,407,3,410,0.03
295,Andhra Pradesh,16,Ongole,23,YARRA DASARADHARAMAIAH,Independent,394,-,394,0.03
296,Andhra Pradesh,16,Ongole,24,KOTA VAMSI KRISHNA,Independent,365,-,365,0.03
297,Andhra Pradesh,16,Ongole,25,K PAVAN KALYAN,Jatiya Jana Sena Party,362,30,392,0.03
298,Andhra Pradesh,16,Ongole,26,NOTA,None of the Above,13066,139,13205,0.93
299,Andhra Pradesh,17,Nandyal,1,DR BYREDDY SHABARI,Telugu Desam,689417,11714,701131,49.92
300,Andhra Pradesh,17,Nandyal,2,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,583155,6001,589156,41.95
301,Andhra Pradesh,17,Nandyal,3,J LAKSHMI NARASIMHA YADAV,Indian National Congress,54920,1284,56204,4
302,Andhra Pradesh,17,Nandyal,4,P GURUVAIAH,Independent,8190,1,8191,0.58
303,Andhra Pradesh,17,Nandyal,5,A CHINNA MOULALI,Bahujan Samaj Party,7768,63,7831,0.56
304,Andhra Pradesh,17,Nandyal,6,HAFIZ ATAULLAH KHAN,Social Democratic Party Of India,6858,74,6932,0.49
305,Andhra Pradesh,17,Nandyal,7,KOMMUSANI PEDDA KAMBAGIRI SWAMY,Independent,4633,-,4633,0.33
306,Andhra Pradesh,17,Nandyal,8,GAGGERA VENKATA RAMANAIAH,Independent,3027,4,3031,0.22
307,Andhra Pradesh,17,Nandyal,9,DUMAVATH SWAMY NAIK,Independent,2348,10,2358,0.17
308,Andhra Pradesh,17,Nandyal,10,KUNUKUNTLA RAMUDU,Independent,1408,5,1413,0.1
309,Andhra Pradesh,17,Nandyal,11,E ANIL KUMAR,Independent,1332,2,1334,0.09
310,Andhra Pradesh,17,Nandyal,12,C SURENDRA NATHA REDDY,Independent,1267,1,1268,0.09
311,Andhra Pradesh,17,Nandyal,13,BRAHMANANDA REDDY K,Independent,1261,11,1272,0.09
312,Andhra Pradesh,17,Nandyal,14,UPPU SUBBARAYUDU,Jaathia Chethi Vruthula Ikya Vedika Party,785,6,791,0.06
313,Andhra Pradesh,17,Nandyal,15,NAGESWARA RAO,Independent,678,2,680,0.05
314,Andhra Pradesh,17,Nandyal,16,VIJAYA BHASKAR REDDYPOGU,Independent,641,-,641,0.05
315,Andhra Pradesh,17,Nandyal,17,YELAMPALLE GOVARDHAN REDDY,All India Forward Bloc,638,4,642,0.05
316,Andhra Pradesh,17,Nandyal,18,BHUMA VEERA BHADRA REDDY,Navarang Congress Party,630,16,646,0.05
317,Andhra Pradesh,17,Nandyal,19,PANDU RANGA YADAV SIDDAPU,Samajwadi Party,594,11,605,0.04
318,Andhra Pradesh,17,Nandyal,20,CHANDINI REDDY VAKATI,Liberation Congress Party,546,10,556,0.04
319,Andhra Pradesh,17,Nandyal,21,B C RAMANADHA AREDDY,Independent,472,-,472,0.03
320,Andhra Pradesh,17,Nandyal,22,GAJULA SHALIMIYA,Anna YSR Congress Party,468,18,486,0.03
321,Andhra Pradesh,17,Nandyal,23,KULURU RAMA KRISHNA REDDY,Neethi Nijayithi Party,428,2,430,0.03
322,Andhra Pradesh,17,Nandyal,24,CH P MALLESWARUDU,Independent,417,4,421,0.03
323,Andhra Pradesh,17,Nandyal,25,I V PAKKIR REDDY,Independent,408,2,410,0.03
324,Andhra Pradesh,17,Nandyal,26,V MADHUSUDHANA REDDY,Independent,399,2,401,0.03
325,Andhra Pradesh,17,Nandyal,27,BUSHAKU MAHESWARA REDDY,Independent,390,-,390,0.03
326,Andhra Pradesh,17,Nandyal,28,U P MUNI REDDY,Independent,376,-,376,0.03
327,Andhra Pradesh,17,Nandyal,29,GOGULA SUGUNAMMA,Jai Maha Bharath Party,375,4,379,0.03
328,Andhra Pradesh,17,Nandyal,30,BELLAMKONDA SREENIVASULU,Independent,352,1,353,0.03
329,Andhra Pradesh,17,Nandyal,31,BALIJA SHIVA KUMAR,Independent,288,-,288,0.02
330,Andhra Pradesh,17,Nandyal,32,NOTA,None of the Above,10538,159,10697,0.76
331,Andhra Pradesh,18,Kurnoolu,1,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,650335,8579,658914,49.51
332,Andhra Pradesh,18,Kurnoolu,2,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,543801,3815,547616,41.15
333,Andhra Pradesh,18,Kurnoolu,3,P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress,68972,1401,70373,5.29
334,Andhra Pradesh,18,Kurnoolu,4,MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party,8533,56,8589,0.65
335,Andhra Pradesh,18,Kurnoolu,5,BOYA SURESH,Independent,5891,9,5900,0.44
336,Andhra Pradesh,18,Kurnoolu,6,T. BEECHUPALLI,Independent,5125,2,5127,0.39
337,Andhra Pradesh,18,Kurnoolu,7,VIJAYA BHASKAR .REDDYPOGU,Independent,3504,4,3508,0.26
338,Andhra Pradesh,18,Kurnoolu,8,PAGADALA KODANDA,Independent,3070,6,3076,0.23
339,Andhra Pradesh,18,Kurnoolu,9,DEVARAPOGU MADDILETY,Independent,2576,6,2582,0.19
340,Andhra Pradesh,18,Kurnoolu,10,PRAKASH REDDY RALAMPADU,Independent,2222,3,2225,0.17
341,Andhra Pradesh,18,Kurnoolu,11,JAHANGIR AHMED,Social Democratic Party Of India,2058,16,2074,0.16
342,Andhra Pradesh,18,Kurnoolu,12,DR. REDDYPOGU PRAVEEN KUMAR,Independent,1847,9,1856,0.14
343,Andhra Pradesh,18,Kurnoolu,13,ABDUL SATTAR  A.S.R,Anna YSR Congress Party,1565,36,1601,0.12
344,Andhra Pradesh,18,Kurnoolu,14,VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party,1385,5,1390,0.1
345,Andhra Pradesh,18,Kurnoolu,15,URUKUNDU VADDE,Independent,1284,11,1295,0.1
346,Andhra Pradesh,18,Kurnoolu,16,MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST),1162,2,1164,0.09
347,Andhra Pradesh,18,Kurnoolu,17,SUNKARA SREEDHAR,Jai Bharat National Party,1149,14,1163,0.09
348,Andhra Pradesh,18,Kurnoolu,18,TARIGOPULA RAJABABU,All Peoples Party,1032,1,1033,0.08
349,Andhra Pradesh,18,Kurnoolu,19,AMRUTH KUMAR SALKAPURAM,Liberation Congress Party,777,6,783,0.06
350,Andhra Pradesh,18,Kurnoolu,20,NOTA,None of the Above,10394,117,10511,0.79
351,Andhra Pradesh,19,Ananthapur,1,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33
352,Andhra Pradesh,19,Ananthapur,2,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,573769,5921,579690,40.24
353,Andhra Pradesh,19,Ananthapur,3,MALLIKARJUNA VAJJALA,Indian National Congress,41954,1263,43217,3
354,Andhra Pradesh,19,Ananthapur,4,G.V.RAMANA REDDY,Independent,6436,3,6439,0.45
355,Andhra Pradesh,19,Ananthapur,5,BANASI NARAYANAPPA,Bahujan Samaj Party,6280,116,6396,0.44
356,Andhra Pradesh,19,Ananthapur,6,V.MURALI PRASAD REDDY,Independent,5775,3,5778,0.4
357,Andhra Pradesh,19,Ananthapur,7,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862,127,4989,0.35
358,Andhra Pradesh,19,Ananthapur,8,M.SURENDRA,Pyramid Party of India,2927,8,2935,0.2
359,Andhra Pradesh,19,Ananthapur,9,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2533,7,2540,0.18
360,Andhra Pradesh,19,Ananthapur,10,P.CHOWDESWARI,Independent,1514,4,1518,0.11
361,Andhra Pradesh,19,Ananthapur,11,VADLA KESAVAIAH,Independent,1488,6,1494,0.1
362,Andhra Pradesh,19,Ananthapur,12,B.RAGHAVENDRA PRASAD,Independent,1317,1,1318,0.09
363,Andhra Pradesh,19,Ananthapur,13,KETHIREDDY RAGHUNATHAREDDY,Independent,1086,5,1091,0.08
364,Andhra Pradesh,19,Ananthapur,14,LOKANATH GOWD SURAGOWINI,Independent,1085,6,1091,0.08
365,Andhra Pradesh,19,Ananthapur,15,SREERANGARAJULA GOPINATH ROYAL,Independent,903,1,904,0.06
366,Andhra Pradesh,19,Ananthapur,16,SHAIK.NIZAM,Samajwadi Party,749,4,753,0.05
367,Andhra Pradesh,19,Ananthapur,17,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,735,10,745,0.05
368,Andhra Pradesh,19,Ananthapur,18,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,574,4,578,0.04
369,Andhra Pradesh,19,Ananthapur,19,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),566,4,570,0.04
370,Andhra Pradesh,19,Ananthapur,20,SRINIVASA RAJU.O,Bhartiya Panchyat Party,489,5,494,0.03
371,Andhra Pradesh,19,Ananthapur,21,DURGA PRASAD D BYATARAYANAJI,Challengers Party,439,5,444,0.03
372,Andhra Pradesh,19,Ananthapur,22,NOTA,None of the Above,9014,185,9199,0.64
373,Andhra Pradesh,20,Hindupur,1,B K PARTHASARATHI,Telugu Desam,713013,12521,725534,51.23
374,Andhra Pradesh,20,Hindupur,2,J SHANTHA,Yuvajana Sramika Rythu Congress Party,587406,5701,593107,41.88
375,Andhra Pradesh,20,Hindupur,3,B A SAMAD SHAHEEN,Indian National Congress,53989,1070,55059,3.89
376,Andhra Pradesh,20,Hindupur,4,BHAGYA R S,Bahujan Samaj Party,7949,66,8015,0.57
377,Andhra Pradesh,20,Hindupur,5,PRATHAP REDDY GORLA,Independent,5380,64,5444,0.38
378,Andhra Pradesh,20,Hindupur,6,H D HANUMANTHE GOWD,Independent,2270,8,2278,0.16
379,Andhra Pradesh,20,Hindupur,7,ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,2045,6,2051,0.14
380,Andhra Pradesh,20,Hindupur,8,S N SURESH,Independent,1611,20,1631,0.12
381,Andhra Pradesh,20,Hindupur,9,DASAGANIPALLI KULLAYAPPA,Independent,1317,11,1328,0.09
382,Andhra Pradesh,20,Hindupur,10,ASHOK,Socialist Unity Centre Of India (COMMUNIST),1282,10,1292,0.09
383,Andhra Pradesh,20,Hindupur,11,T SUDHAKAR REDDY,Independent,1227,10,1237,0.09
384,Andhra Pradesh,20,Hindupur,12,S RAGHUNATHA REDDY,Independent,693,17,710,0.05
385,Andhra Pradesh,20,Hindupur,13,BUDILI DHANUNJAYA,National Nava Kranthi Party,679,3,682,0.05
386,Andhra Pradesh,20,Hindupur,14,NOTA,None of the Above,17826,145,17971,1.27
387,Andhra Pradesh,21,Kadapa,1,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,598406,6737,605143,45.78
388,Andhra Pradesh,21,Kadapa,2,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,532358,10090,542448,41.03
389,Andhra Pradesh,21,Kadapa,3,Y.S. SHARMILA REDDY,Indian National Congress,136395,4644,141039,10.67
390,Andhra Pradesh,21,Kadapa,4,PANDITI. GURAPPA.,Bahujan Samaj Party,3790,20,3810,0.29
391,Andhra Pradesh,21,Kadapa,5,VENU GOPAL RACHINENI,Rashtriya Praja Congress  (Secular),3500,70,3570,0.27
392,Andhra Pradesh,21,Kadapa,6,CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent,2414,16,2430,0.18
393,Andhra Pradesh,21,Kadapa,7,KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi,2329,4,2333,0.18
394,Andhra Pradesh,21,Kadapa,8,L. KHAJA HUSSAIN,Independent,1087,1,1088,0.08
395,Andhra Pradesh,21,Kadapa,9,ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc,752,3,755,0.06
396,Andhra Pradesh,21,Kadapa,10,KAKARLA SHANMUKHA REDDY,Independent,633,14,647,0.05
397,Andhra Pradesh,21,Kadapa,11,PALLE RAMESH,Jaibhim Rao Bharat Party,619,5,624,0.05
398,Andhra Pradesh,21,Kadapa,12,CHAN BASHA. S,Anna YSR Congress Party,432,7,439,0.03
399,Andhra Pradesh,21,Kadapa,13,J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party,414,20,434,0.03
400,Andhra Pradesh,21,Kadapa,14,MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi,358,11,369,0.03
401,Andhra Pradesh,21,Kadapa,15,NOTA,None of the Above,16660,186,16846,1.27
402,Andhra Pradesh,22,Nellore,1,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,750771,15431,766202,55.7
403,Andhra Pradesh,22,Nellore,2,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,514375,5925,520300,37.82
404,Andhra Pradesh,22,Nellore,3,KOPPULA RAJU,Indian National Congress,53264,1580,54844,3.99
405,Andhra Pradesh,22,Nellore,4,BHASKAR NASINA,Bahujan Samaj Party,5710,101,5811,0.42
406,Andhra Pradesh,22,Nellore,5,VIVEKA MANNEPALLI,Revolutionary Socialist Party,2794,10,2804,0.2
407,Andhra Pradesh,22,Nellore,6,KOPPALA RAGHU,Independent,2010,5,2015,0.15
408,Andhra Pradesh,22,Nellore,7,GAJULA SOMA SEKHAR,Jai Bharat National Party,1775,4,1779,0.13
409,Andhra Pradesh,22,Nellore,8,SHAIK MUZIBUR RAHAMAN,Pyramid Party of India,1315,15,1330,0.1
410,Andhra Pradesh,22,Nellore,9,SHAIK MAHABOOB BASHA (MABU),Republican Party of India (A),1228,5,1233,0.09
411,Andhra Pradesh,22,Nellore,10,MALLEPALLY RAGHU,Navarang Congress Party,1104,1,1105,0.08
412,Andhra Pradesh,22,Nellore,11,SHAIK SHAFI AHMED,All India Forward Bloc,1037,-,1037,0.08
413,Andhra Pradesh,22,Nellore,12,NAKKA DINESH,Bharatha Chaitanya Yuvajana Party,576,24,600,0.04
414,Andhra Pradesh,22,Nellore,13,TALARI VENKATAIAH,Jaibhim Rao Bharat Party,553,5,558,0.04
415,Andhra Pradesh,22,Nellore,14,PUNGANURU PRASANNA GANAPATHI,Radical Party of India (Ambedkarist),452,2,454,0.03
416,Andhra Pradesh,22,Nellore,15,NOTA,None of the Above,15454,123,15577,1.13
417,Andhra Pradesh,23,Thirupathi(SC),1,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,626702,5526,632228,45.73
418,Andhra Pradesh,23,Thirupathi(SC),2,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,608494,9165,617659,44.67
419,Andhra Pradesh,23,Thirupathi(SC),3,CHINTA MOHAN,Indian National Congress,63790,1733,65523,4.74
420,Andhra Pradesh,23,Thirupathi(SC),4,PENUMURU. GURAPPA,Bahujan Samaj Party,10300,206,10506,0.76
421,Andhra Pradesh,23,Thirupathi(SC),5,KATTAMANCHI. PRABHAKAR,Independent,5796,6,5802,0.42
422,Andhra Pradesh,23,Thirupathi(SC),6,M UMADEVI,Janata Congress,5387,38,5425,0.39
423,Andhra Pradesh,23,Thirupathi(SC),7,ALLAM.RAJA,Independent,4948,22,4970,0.36
424,Andhra Pradesh,23,Thirupathi(SC),8,VIJAY KUMAR G.SRKR,Liberation Congress Party,4108,194,4302,0.31
425,Andhra Pradesh,23,Thirupathi(SC),9,ANJAIAH.P,Republican Party of India (A),3657,9,3666,0.27
426,Andhra Pradesh,23,Thirupathi(SC),10,V.C. NAVEEN GUPTA,Independent,1723,8,1731,0.13
427,Andhra Pradesh,23,Thirupathi(SC),11,A. VARAPRASAD,Jatiya Jana Sena Party,1668,30,1698,0.12
428,Andhra Pradesh,23,Thirupathi(SC),12,SYAMDHAN KURAPATI,Aihra National Party,1567,1,1568,0.11
429,Andhra Pradesh,23,Thirupathi(SC),13,C. PUNYAMURTHY,United Republican Party of India,1511,4,1515,0.11
430,Andhra Pradesh,23,Thirupathi(SC),14,KARRA SIVA,Pyramid Party of India,1501,9,1510,0.11
431,Andhra Pradesh,23,Thirupathi(SC),15,VELURU. THEJOVATHI,Samajwadi Party,1362,27,1389,0.1
432,Andhra Pradesh,23,Thirupathi(SC),16,C. DAVID,Indian Believers Party (IBP),1237,2,1239,0.09
433,Andhra Pradesh,23,Thirupathi(SC),17,K. JEEVARATHNAM,Independent,1203,1,1204,0.09
434,Andhra Pradesh,23,Thirupathi(SC),18,DASARI. GOWTHAM,Independent,1077,10,1087,0.08
435,Andhra Pradesh,23,Thirupathi(SC),19,VIJAYA KUMAR.G,Independent,797,4,801,0.06
436,Andhra Pradesh,23,Thirupathi(SC),20,A. MADHU,Jai Hindustan Party,711,-,711,0.05
437,Andhra Pradesh,23,Thirupathi(SC),21,B. BHARANI BAS,Ambedkar National Congress,688,-,688,0.05
438,Andhra Pradesh,23,Thirupathi(SC),22,Y. MAHESH,Independent,615,7,622,0.04
439,Andhra Pradesh,23,Thirupathi(SC),23,PRASAD PATIBANDLA,Independent,607,1,608,0.04
440,Andhra Pradesh,23,Thirupathi(SC),24,NOTA,None of the Above,15909,209,16118,1.17
441,Andhra Pradesh,24,Rajampet,1,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,639111,5733,644844,48.38
442,Andhra Pradesh,24,Rajampet,2,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,557030,11743,568773,42.67
443,Andhra Pradesh,24,Rajampet,3,SHAIK BASHEED,Indian National Congress,52229,1071,53300,4
444,Andhra Pradesh,24,Rajampet,4,ABBAVARAM UGENDRA,Bahujan Samaj Party,12306,57,12363,0.93
445,Andhra Pradesh,24,Rajampet,5,POOLA REDDY SEKHAR,Independent,6097,3,6100,0.46
446,Andhra Pradesh,24,Rajampet,6,NAGARAJU JETTI,Independent,5984,15,5999,0.45
447,Andhra Pradesh,24,Rajampet,7,PRADEEP PENAMADU,All India Forward Bloc,5671,1,5672,0.43
448,Andhra Pradesh,24,Rajampet,8,CHOUDVARAM SUBBANARASAIAH,Independent,4731,4,4735,0.36
449,Andhra Pradesh,24,Rajampet,9,PULI SREENIVASULU,Independent,4613,3,4616,0.35
450,Andhra Pradesh,24,Rajampet,10,SREENIVASULU MARRIPATI,Independent,4436,7,4443,0.33
451,Andhra Pradesh,24,Rajampet,11,AKBAR M BASHA,Anna YSR Congress Party,2394,17,2411,0.18
452,Andhra Pradesh,24,Rajampet,12,SANGARAJU NAGESWARA RAJU,Independent,1523,12,1535,0.12
453,Andhra Pradesh,24,Rajampet,13,MADA RAJA,Jaathia Chethi Vruthula Ikya Vedika Party,1415,-,1415,0.11
454,Andhra Pradesh,24,Rajampet,14,BATTHALA RAMANAIAH,Jai Bharat National Party,1360,6,1366,0.1
455,Andhra Pradesh,24,Rajampet,15,DODDAPANENI RAJA NAIDU,Independent,1315,3,1318,0.1
456,Andhra Pradesh,24,Rajampet,16,MAYANA MOHAMMED SALMAN KHAN,Liberation Congress Party,1069,2,1071,0.08
457,Andhra Pradesh,24,Rajampet,17,KASTURI OBAIAH NAIDU,Independent,885,2,887,0.07
458,Andhra Pradesh,24,Rajampet,18,ASADI VENKATADRI,Independent,689,2,691,0.05
459,Andhra Pradesh,24,Rajampet,19,NOTA,None of the Above,11324,76,11400,0.86
460,Andhra Pradesh,25,Chittoor(SC),1,DAGGUMALLA PRASADA RAO,Telugu Desam,765536,12535,778071,54.84
461,Andhra Pradesh,25,Chittoor(SC),2,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,552469,5123,557592,39.3
462,Andhra Pradesh,25,Chittoor(SC),3,MOTUKUR JAGAPATHI,Indian National Congress,29431,719,30150,2.12
463,Andhra Pradesh,25,Chittoor(SC),4,THOGURU VIJAYA KUMAR,Bahujan Samaj Party,13389,122,13511,0.95
464,Andhra Pradesh,25,Chittoor(SC),5,YUGANDAR . KONDA,Independent,6889,84,6973,0.49
465,Andhra Pradesh,25,Chittoor(SC),6,K.MUNI KRISHNA,Independent,3954,2,3956,0.28
466,Andhra Pradesh,25,Chittoor(SC),7,P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party,2822,11,2833,0.2
467,Andhra Pradesh,25,Chittoor(SC),8,PETA.MOHAN .,Independent,2365,1,2366,0.17
468,Andhra Pradesh,25,Chittoor(SC),9,C.SUDHAKAR,Independent,1934,1,1935,0.14
469,Andhra Pradesh,25,Chittoor(SC),10,N.CHANDRABABU,Independent,1878,7,1885,0.13
